question_id,question_text,ideal_answer,keywords_main,keywords_optional
Q45,What is a 'Primary Key'?,A primary key is a specific choice of a minimal set of attributes (columns) that uniquely specify a tuple (row) in a relation (table).,minimal set attributes | uniquely specify row | 'primary | attributes | choice | columns | key | key' | minimal | primary | relation | row | set | specific | specify | table | tuple | uniquely,unique identifier | database constraint
Q46,What is a 'Foreign Key'?,"A foreign key is a field in one table that refers to the primary key in another table, creating a link between the two tables.",refers to primary key | link tables | 'foreign | another | between | creating | field | foreign | key | key' | link | one | primary | refers | table | tables | two,relationship | constraint
Q47,What is the 'prototype' model in SDLC?,"A development model where a prototype (an early approximation of a final system or product) is built, tested, and then reworked as necessary.",prototype | early approximation | reworked | 'prototype' | approximation | built | development | early | final | model | necessary | product | prototype | reworked | sdlc | system | tested | then,iterative | user feedback
Q48,What is 'Black Box Testing'?,A software testing method in which the internal structure/design/implementation of the item being tested is not known to the tester.,internal structure not known | testing method | 'black | being | box | design | implementation | internal | item | known | method | not | software | structure | tested | tester | testing | testing',functional testing | input output
Q49,What is 'White Box Testing'?,A testing method where the internal structure/design/implementation of the item being tested is known to the tester.,internal structure known | testing method | 'white | being | box | design | implementation | internal | item | known | method | structure | tested | tester | testing | testing',structural testing |logic coverage
Q50,What is 'Parallel Deployment'?,A deployment method where the new system and the old system run simultaneously for a period of time to ensure the new system works correctly,run simultaneously | new and old system | 'parallel | correctly | deployment | deployment' | ensure | method | new | old | period | run | simultaneously | system | time | works,implementation | safe
Q51,What is 'Direct Cutover' deployment?,"A deployment method where the old system is stopped and the new system is started immediately, usually on a specific date.",old stopped new started | immediately | 'direct | cutover' | date | deployment | immediately | method | new | old | specific | started | stopped | system | usually,implementation | risky
Q52,What is a 'Star Topology'?,A network topology where all devices are connected to a central hub or switch via individual cables.,central hub | connected individually | 'star | all | cables | central | connected | devices | hub | individual | individually | network | switch | topology | topology' | via,switch | reliability
Q53,Describe 'Bus Topology'.,A network setup where each computer and network device is connected to a single cable or backbone.,single cable | backbone | 'bus | backbone | cable | computer | connected | describe | device | each | network | setup | single | topology',terminator | coaxia
Q54,What is 'Ring Topology'?,"A network configuration where device connections create a circular data path, with each networked device connected to two others.",circular data path | connected to two others | 'ring | circular | configuration | connected | connections | create | data | device | each | network | networked | others | path | topology' | two,token passing | unidirectional
Q55,What is 'TCP/IP'?,Transmission Control Protocol/Internet Protocol is the suite of communication protocols used to connect host computers on the Internet.,communication protocols | connect hosts Internet | 'tcp | communication | computers | connect | control | host | hosts | internet | ip' | protocol | protocols | suite | transmission | used,suite | data transmission
Q56,What is the function of 'DNS' (Domain Name System)?,DNS translates human-readable domain names (like www.google.com) into IP addresses that computers use to identify each other.,translates domain names | IP addresses | 'dns' | addresses | com | computers | dns | domain | each | function | google | human | identify | ip | like | name | names | other | readable | system | translates | use | www,mapping |resolution
Q57,What is 'DHCP' (Dynamic Host Configuration Protocol)?,A network management protocol used to automatically assign IP addresses and other communication parameters to devices connected to the network.,automatically assign | IP addresses | 'dhcp' | addresses | assign | automatically | communication | configuration | connected | devices | dynamic | host | ip | management | network | other | parameters | protocol | used,network management |dynamic IP
Q58,Difference between LAN and WAN.,"A LAN (Local Area Network) connects devices within a limited area like a home or office, while a WAN (Wide Area Network) covers a large geographic area.",limited area vs large geographic area | area | between | connects | covers | devices | difference | geographic | home | lan | large | like | limited | local | network | office | vs | wan | while | wide | within,home office vs cities countries
Q59,What is 'Client-Server Architecture'?,A network architecture where tasks are partitioned between service providers (servers) and service requesters (clients).,servers provide | clients request | 'client | architecture | architecture' | between | clients | network | partitioned | provide | providers | request | requesters | server | servers | service | tasks,centralized | distributed
Q60,What is 'Peer-to-Peer' (P2P) network?,"A decentralized network architecture where each computer can act as both a client and a server, sharing resources directly without a central server.",decentralized | act as client and server | 'peer | act | architecture | both | can | central | client | computer | decentralized | directly | each | network | p2p | peer' | resources | server | sharing | without,no central server | file sharing
Q61,Define 'Data Flow Diagram' (DFD).,"A graphical representation of the ""flow"" of data through an information system, modeling its process aspects.",flow of data | graphical representation | 'data | aspects | data | define | dfd | diagram' | flow | graphical | information | its | modeling | process | representation | system | through,process modeling | inputs outputs
Q62,What is a 'Context Diagram' (Level 0 DFD)?,"The highest level view of a system, showing the system as a single process and its interaction with external entities.",highest level | single process | 'context | dfd | diagram' | entities | external | highest | interaction | its | level | process | showing | single | system | view,external entities | boundaries
Q63,What represents a 'Data Store' in a DFD?,"A data store represents a repository where data is stored for later use, depicted by an open-ended rectangle.",repository | stored data | 'data | data | depicted | dfd | ended | later | open | rectangle | repository | represents | store | store' | stored | use,database | file
Q64,What is an 'External Entity' in Systems Analysis?,"A source or destination of data that is outside the boundaries of the system being studied (e.g., Customer, Supplier).",source or destination | outside boundaries | 'external | analysis | being | boundaries | customer | data | destination | entity' | outside | source | studied | supplier | system | systems,interacting system |user
Q65,What is a 'Candidate Key'?,"A candidate key is a column, or set of columns, in a table that can uniquely identify any database record without referring to any other data.",uniquely identify | database record | 'candidate | any | can | candidate | column | columns | data | database | identify | key | key' | other | record | referring | set | table | uniquely | without,potential primary key |minimal
Q66,What is a 'Composite Key'?,A primary key that consists of two or more columns/attributes to uniquely identify a record.,two or more columns | uniquely identify | 'composite | attributes | columns | consists | identify | key | key' | more | primary | record | two | uniquely,multiple attributes | primary key
Q67,Define 'Cardinality' in ER Diagrams.,"Cardinality defines the numerical attributes of the relationship between two entities (e.g., one-to-one, one-to-many).",numerical attributes | relationship | 'cardinality' | attributes | between | cardinality | define | defines | diagrams | entities | er | many | numerical | one | relationship | two,mapping | 1:1 1:N M:N
Q68,What is a 'One-to-Many' relationship?,"A relationship where a single record in Table A can be related to one or more records in Table B, but a record in Table B is related to only one record in Table A.",single record related to multiple | multiple related to one | 'one | but | can | many' | more | multiple | one | only | record | records | related | relationship | single | table,parent-child | most common
Q69,What is DDL (Data Definition Language)?,"A subset of SQL used to define the database structure or schema (e.g., CREATE, ALTER, DROP).",define database structure | schema | alter | create | data | database | ddl | define | definition | drop | language | schema | sql | structure | subset | used,CREATE | ALTER | DROP
Q70,What is DML (Data Manipulation Language)?,"A subset of SQL used for adding, retrieving, updating, and deleting data within the database (e.g., SELECT, INSERT).",managing data | adding retrieving updating | adding | data | database | deleting | dml | insert | language | managing | manipulation | retrieving | select | sql | subset | updating | used | within,INSERT | UPDATE | DELETE
Q71,What is '1NF' (First Normal Form)?,A property of a relation in a relational database where the table has no repeating groups and all attributes are atomic,no repeating groups | atomic attributes | '1nf' | all | atomic | attributes | database | first | form | groups | has | no | normal | property | relation | relational | repeating | table,unique rows | normalization
Q72,What is '2NF' (Second Normal Form)?,A relation is in 2NF if it is in 1NF and every non-primary key attribute is fully functionally dependent on the primary key (no partial dependency).,1NF | no partial dependency | '2nf' | 1nf | 2nf | attribute | dependency | dependent | every | form | fully | functionally | if | key | no | non | normal | partial | primary | relation | second,fully dependent | primary key
Q73,What is '3NF' (Third Normal Form)?,A relation is in 3NF if it is in 2NF and has no transitive dependencies (non-key attributes depend only on the primary key).,2NF | no transitive dependency | '3nf' | 2nf | 3nf | attributes | depend | dependencies | dependency | form | has | if | key | no | non | normal | only | primary | relation | third | transitive,non-key attributes | direct dependency
Q74,What is the 'Waterfall Model'?,"A linear sequential software development life cycle (SDLC) model where progress flows downwards through phases like requirements, design, implementation, and maintenance.",linear sequential | flows downwards | 'waterfall | cycle | design | development | downwards | flows | implementation | life | like | linear | maintenance | model | model' | phases | progress | requirements | sdlc | sequential | software | through,traditional | structured
Q75,What is 'Prototyping' in SDLC?,An iterative development technique where a preliminary version of the software is created to get user feedback before full development.,preliminary version | user feedback | 'prototyping' | before | created | development | feedback | full | get | iterative | preliminary | sdlc | software | technique | user | version,iterative | model
Q76,What is 'Phased Implementation'?,A deployment strategy where the new system is implemented in stages or modules across the organization rather than all at once.,stages | modules | 'phased | across | all | deployment | implementation' | implemented | modules | new | once | organization | rather | stages | strategy | system | than,gradual | risk reduction
Q77,What is 'Parallel Implementation'?,Running both the old and new systems simultaneously for a period to ensure the new system functions correctly before turning off the old one.,running simultaneously | old and new | 'parallel | before | both | correctly | ensure | functions | implementation' | new | off | old | one | period | running | simultaneously | system | systems | turning,risk reduction |  comparison
Q78,What is an HTML 'Attribute'?,"Additional information provided within the start tag of an HTML element to modify its behavior or presentation (e.g., src, href).",additional information | start tag | 'attribute' | additional | behavior | element | href | html | information | its | modify | presentation | provided | src | start | tag | within,modifier | properties
Q79,What does the <ul> tag create?,"It creates an unordered list, typically displayed with bullet points.",unordered list | bullet points | bullet | create | creates | displayed | does | list | points | tag | typically | ul | unordered,list items | li
Q80,What does the <ol> tag create?,"It creates an ordered list, typically displayed with numbers or letters.",ordered list | numbers | create | creates | displayed | does | letters | list | numbers | ol | ordered | tag | typically,sequence | li
Q81,What is 'Internal CSS'?,"CSS styles defined within the <style> element, inside the <head> section of an HTML page.",style element | head section | 'internal | css | css' | defined | element | head | html | inside | page | section | style | styles | within,single page | formatting
Q82,What is 'Inline CSS'?,CSS styles applied directly to an HTML element using the style attribute.,applied directly | style attribute | 'inline | applied | attribute | css | css' | directly | element | html | style | styles | using,specific element | priority
Q83,What is an 'Interpreter' in Python?,"A program that reads and executes Python code line by line, converting it into machine-readable bytecode on the fly.",executes line by line | reads code | 'interpreter' | bytecode | code | converting | executes | fly | line | machine | program | python | readable | reads,translation | script execution
Q84,What is the function of print() in Python?,It displays the specified message or value to the standard output device (screen).,displays message | output to screen | device | displays | function | message | output | print | python | screen | specified | standard | value,standard output | show data
Q85,What is the function of input() in Python?,"It allows the user to enter data from the keyboard, which is returned as a string.",enter data | keyboard | allows | data | enter | function | input | keyboard | python | returned | string | user,read input | returns string
Q86,What is a 'Float' data type in Python?,"A data type used to represent real numbers with a decimal point (e.g., 3.14, -0.01).",real numbers | decimal point | 'float' | 01 | 14 | data | decimal | numbers | point | python | real | represent | type | used,fractional | numeric
Q87,What represents a 'String' in Python?,"A sequence of characters enclosed in single (') or double ("") quotes.",sequence of characters | quotes | 'string' | characters | double | enclosed | python | quotes | represents | sequence | single,text |  literal
Q88,How do you create a comment in Python?,By using the hash symbol (#) at the beginning of the line or code block.,hash symbol | # | beginning | block | code | comment | create | do | hash | line | python | symbol | using | you,ignore | documentation
Q89,What is 'Indentation' in Python?,"Whitespace at the beginning of a line used to define the scope of loops, functions, and control structures (blocks of code).",whitespace | define scope | 'indentation' | beginning | blocks | code | control | define | functions | line | loops | python | scope | structures | used | whitespace,code block | formatting
Q90,What is an 'Assignment Operator' (=)?,"It is used to assign a value to a variable (e.g., x = 5).",assign value | variable | 'assignment | assign | operator' | used | value | variable,storage | definition
Q91,What does the if statement do?,It is a control flow statement that executes a block of code only if a specified condition is true.,executes block | condition is true | block | code | condition | control | do | does | executes | flow | if | only | specified | statement | true,decision making | conditional
Q92,What is the else statement?,A conditional statement that executes a block of code if the condition in the preceding if statement is false.,executes if false | preceding if | block | code | condition | conditional | else | executes | false | if | preceding | statement,alternative | fallback
Q93,What is elif in Python?,"Short for ""else if"", it allows you to check multiple expressions for TRUE and execute a block of code as soon as one of the conditions evaluates to TRUE.",else if | multiple expressions | allows | block | check | code | conditions | elif | else | evaluates | execute | expressions | if | multiple | one | python | short | soon | true | you,chaining conditions | logic
Q94,What does the and logical operator do?,It returns True only if both operands or conditions are True.,True if both True | logical conjunction | both | conditions | conjunction | do | does | if | logical | only | operands | operator | returns | true,boolean | condition
Q95,What does the or logical operator do?,It returns True if at least one of the operands or conditions is True.,True if at least one True | logical disjunction | conditions | disjunction | do | does | if | least | logical | one | operands | operator | returns | true,boolean | condition
Q96,What is a 'Variable' in programming?,A named storage location in memory used to hold a value that can be changed during program execution.,named storage | hold value | 'variable' | can | changed | during | execution | hold | location | memory | named | program | programming | storage | used | value,memory | identifier
Q97,What is 'Source Code'?,The human-readable instructions written by a programmer in a high-level programming language.,human-readable instructions | programmer written | 'source | code' | high | human | instructions | language | level | programmer | programming | readable | written,text file |  logic
Q98,What is 'Object Code'?,The machine-readable code (binary) produced by a compiler or assembler from source code.,machine-readable | binary | 'object | assembler | binary | code | code' | compiler | machine | produced | readable | source,executable | output
Q99,What is a 'Compiler'?,A program that translates the entire source code into machine code (object code) at once before execution.,translates entire code | at once | 'compiler' | before | code | entire | execution | machine | object | once | program | source | translates,translation |  optimization
Q100,What is 'Systems Software'?,"Software designed to provide a platform for other software, including operating systems and utility programs.",platform for other software | OS utilities | 'systems | designed | including | operating | os | other | platform | programs | provide | software | software' | systems | utilities | utility,hardware management | core
Q101,What is 'Application Software'?,"A program or group of programs designed for end-users to perform specific tasks (e.g., Word processors, Web browsers).",end-users | specific tasks | 'application | browsers | designed | end | group | perform | processors | program | programs | software' | specific | tasks | users | web | word,productivity | apps
Q102,What is the function of analogWrite() in Arduino?,"It writes an analog value (PWM wave) to a pin, typically used to fade an LED or control motor speed.",writes analog value | PWM wave | control speed | analog | analogwrite | arduino | control | fade | function | led | motor | pin | pwm | speed | typically | used | value | wave | writes,fade LED | output
Q103,What is Pulse Width Modulation (PWM)?,PWM is a technique for getting analog results with digital means by turning the digital output on and off very fast.,analog results with digital | turning on and off fast | analog | digital | fast | getting | means | modulation | off | output | pulse | pwm | results | technique | turning | very | width,duty cycle | signal modulation
Q104,Why is a resistor used with an LED in Arduino circuits?,To limit the current flowing through the LED so that it does not burn out.,limit current | prevent burn out | arduino | burn | circuits | current | does | flowing | led | limit | not | out | prevent | resistor | so | through | used,protection | voltage drop
Q105,What is the purpose of the delay() function in Arduino?,It pauses the program for the amount of time (in milliseconds) specified as a parameter.,pauses program | time in milliseconds | amount | arduino | delay | function | milliseconds | parameter | pauses | program | purpose | specified | time,wait | timing
Q106,What is the Serial.println() function used for?,It prints data to the serial port as human-readable ASCII text followed by a carriage return character (new line).,"prints data | new line, serial port | ascii | carriage | character | data | followed | function | human | line | new | port | println | prints | readable | return | serial | text | used",output  | debugging
Q107,Define 'Syntax Error' in programming.,An error in the source code of a program caused by violating the language's grammatical rules.,violating grammatical rules | source code error | 'syntax | caused | code | define | error | error' | grammatical | language's | program | programming | rules | source | violating,compile error |  structure
Q108,What is the purpose of the open() function in Python?,"It opens a file and returns a file object, which allows reading, writing, or appending to the file.",opens file | returns file object | allows | appending | file | function | object | open | opens | purpose | python | reading | returns | writing,file handling |  read write
Q109,"What does file mode ""r"" signify in Python?",It opens a file for reading only; this is the default mode.,read only | default mode | default | does | file | mode | only | opens | python | read | reading | signify,file handling | input
Q110,"What does file mode ""a"" signify in Python?",It opens a file for appending; data is written to the end of the file without overwriting existing content.,"appending, end of file | no overwriting | appending | content | data | does | end | existing | file | mode | no | opens | overwriting | python | signify | without | written",file handling | add data
Q111,What is the function of f.read() in Python?,It reads the entire content of the file (or a specified number of characters) and returns it as a string.,reads content | returns string | characters | content | entire | file | function | number | python | read | reads | returns | specified | string,file operation |  read all
Q112,What does the readline() method do?,It reads a single line from the file,reads single line | file | do | does | file | line | method | readline | reads | single,line by line |  iteration
Q113,How do you remove a file in Python?,You use the os.remove() function after importing the os module.,os.remove() | import os | after | do | file | function | import | importing | module | os | python | remove | use | you,delete file | file system
Q114,What is a 'Logic Gate'?,"A logic gate is an idealized or physical device implementing a Boolean function, performing a logical operation on one or more binary inputs.",Boolean function | logical operation | binary inputs | 'logic | binary | boolean | device | function | gate | gate' | idealized | implementing | inputs | logic | logical | more | one | operation | performing | physical,AND OR NOT |  digital circuit
Q115,State De Morgan's First Law.,The complement of the product of two variables is equal to the sum of their complements ((AB)' = A' + B').,complement of product | sum of complements | a' | ab | b' | complement | complements | de | equal | first | law | morgan's | product | state | sum | their | two | variables,boolean algebra |  NAND
Q116,State De Morgan's Second Law.,The complement of the sum of two variables is equal to the product of their complements ((A+B)' = A' . B').,complement of sum | product of complements | a' | b' | complement | complements | de | equal | law | morgan's | product | second | state | sum | their | two | variables,boolean algebra | NOR
Q117,What is a 'Half Adder'?,A digital circuit that adds two single binary digits and produces a sum and a carry.,adds two binary digits | sum and carry | 'half | adder' | adds | binary | carry | circuit | digital | digits | produces | single | sum | two,combinational logic | arithmetic
Q118,What is a 'Full Adder'?,A digital circuit that adds three binary digits (two significant bits and an input carry) to produce a sum and a carry.,adds three digits | input carry | sum carry | 'full | adder' | adds | binary | bits | carry | circuit | digital | digits | input | produce | significant | sum | three | two,arithmetic circuit | logic
Q119,What is 'Karnaugh Map' (K-Map)?,A graphical method used for simplifying Boolean algebra expressions,simplifying Boolean expressions | graphical method | 'karnaugh | algebra | boolean | expressions | graphical | map | map' | method | simplifying | used,minimization | logic design
Q120,What is 'ASCII'?,American Standard Code for Information Interchange; a character encoding standard for electronic communication,character encoding | standard | 'ascii' | american | character | code | communication | electronic | encoding | information | interchange | standard,text representation |  7-bit
Q121,What is 'BCD' (Binary Coded Decimal)?,"A class of binary encodings of decimal numbers where each decimal digit is represented by a fixed number of bits, usually four.",decimal digit | fixed number of bits | 'bcd' | binary | bits | class | coded | decimal | digit | each | encodings | fixed | four | number | numbers | represented | usually,4-bit |  encoding
