question_text,student_answer,grade_label,marks,combined_text
what is a device driver,a that computer program particular is of is computer driver a that a to attached or operates a type controls,GOOD,10,what is a device driver [SEP] a that computer program particular is of is computer driver a that a to attached or operates a type controls
what is a device driver,operates program type attached driver operates controls device hardware interface,PARTIAL,5,what is a device driver [SEP] operates program type attached driver operates controls device hardware interface
what is a device driver,operates controls device,WEAK,2,what is a device driver [SEP] operates controls device
what is a device driver,it holds the address of the memory location where data is to be read from or written to,INCORRECT,0,what is a device driver [SEP] it holds the address of the memory location where data is to be read from or written to
what is a device driver,i don t know,INCORRECT,0,what is a device driver [SEP] i don t know
what is spooling,spooling is a process where data is temporarily held to be used and executed by a device program or system common in printing,GOOD,10,what is spooling [SEP] spooling is a process where data is temporarily held to be used and executed by a device program or system common in printing
what is spooling,used temporarily system data spooling executed process held,PARTIAL,5,what is spooling [SEP] used temporarily system data spooling executed process held
what is spooling,device,WEAK,2,what is spooling [SEP] device
what is spooling,the bit in a multiple bit binary number with the smallest value right most bit,INCORRECT,0,what is spooling [SEP] the bit in a multiple bit binary number with the smallest value right most bit
what is spooling,i don t know,INCORRECT,0,what is spooling [SEP] i don t know
define data transmission speed bandwidth,to maximum rate of across given path typically measured in second,GOOD,10,define data transmission speed bandwidth [SEP] to maximum rate of across given path typically measured in second
define data transmission speed bandwidth,maximum rate transmission measured define bandwidth per bps transfer typically maximum,PARTIAL,5,define data transmission speed bandwidth [SEP] maximum rate transmission measured define bandwidth per bps transfer typically maximum
define data transmission speed bandwidth,bps,WEAK,2,define data transmission speed bandwidth [SEP] bps
define data transmission speed bandwidth,a property of a relation in a relational database where the table has no repeating groups and all attributes are atomic,INCORRECT,0,define data transmission speed bandwidth [SEP] a property of a relation in a relational database where the table has no repeating groups and all attributes are atomic
define data transmission speed bandwidth,i don t know,INCORRECT,0,define data transmission speed bandwidth [SEP] i don t know
what is simplex mode in transmission,is in unidirectional simplex flows e communication in data only g one mode direction,GOOD,10,what is simplex mode in transmission [SEP] is in unidirectional simplex flows e communication in data only g one mode direction
what is simplex mode in transmission,communication unidirectional mode radio one direction only broadcasting simplex,PARTIAL,5,what is simplex mode in transmission [SEP] communication unidirectional mode radio one direction only broadcasting simplex
what is simplex mode in transmission,transmission,WEAK,2,what is simplex mode in transmission [SEP] transmission
what is simplex mode in transmission,it involves managing the creation scheduling and termination of processes programs in execution by the cpu,INCORRECT,0,what is simplex mode in transmission [SEP] it involves managing the creation scheduling and termination of processes programs in execution by the cpu
what is simplex mode in transmission,it is a linear sequential design approach for software development where progress flows downwards through phases like requirements analysis design implementation and testing,INCORRECT,0,what is simplex mode in transmission [SEP] it is a linear sequential design approach for software development where progress flows downwards through phases like requirements analysis design implementation and testing
what is half duplex mode,can be transmitted in both directions but not at the same time e g talkie,GOOD,10,what is half duplex mode [SEP] can be transmitted in both directions but not at the same time e g talkie
what is half duplex mode,duplex can half data talkie not time walkie,PARTIAL,5,what is half duplex mode [SEP] duplex can half data talkie not time walkie
what is half duplex mode,same,WEAK,2,what is half duplex mode [SEP] same
what is half duplex mode,i don t know,INCORRECT,0,what is half duplex mode [SEP] i don t know
what is half duplex mode,the bit in a multiple bit binary number with the smallest value right most bit,INCORRECT,0,what is half duplex mode [SEP] the bit in a multiple bit binary number with the smallest value right most bit
what is full duplex mode,can be in both directions simultaneously e g telephone conversation,GOOD,10,what is full duplex mode [SEP] can be in both directions simultaneously e g telephone conversation
what is full duplex mode,transmitted both simultaneously can conversation data telephone,PARTIAL,5,what is full duplex mode [SEP] transmitted both simultaneously can conversation data telephone
what is full duplex mode,telephone,WEAK,2,what is full duplex mode [SEP] telephone
what is full duplex mode,i don t know,INCORRECT,0,what is full duplex mode [SEP] i don t know
what is full duplex mode,i don t know,INCORRECT,0,what is full duplex mode [SEP] i don t know
what is multiplexing,multiple a are one which or by signal is into shared signals combined medium method digital multiplexing,GOOD,10,what is multiplexing [SEP] multiple a are one which or by signal is into shared signals combined medium method digital multiplexing
what is multiplexing,analog one signal over one combined method multiplexing multiplexing,PARTIAL,5,what is multiplexing [SEP] analog one signal over one combined method multiplexing multiplexing
what is multiplexing,over,WEAK,2,what is multiplexing [SEP] over
what is multiplexing,i don t know,INCORRECT,0,what is multiplexing [SEP] i don t know
what is multiplexing,i don t know,INCORRECT,0,what is multiplexing [SEP] i don t know
what is guided media,uses cables optics media guided path transmit cable such coaxial to as pair signals a physical twisted,GOOD,10,what is guided media [SEP] uses cables optics media guided path transmit cable such coaxial to as pair signals a physical twisted
what is guided media,uses pair media cable coaxial guided signals optics twisted wired,PARTIAL,5,what is guided media [SEP] uses pair media cable coaxial guided signals optics twisted wired
what is guided media,path,WEAK,2,what is guided media [SEP] path
what is guided media,the final phase involving correcting errors improving performance and adapting the software to a changed environment,INCORRECT,0,what is guided media [SEP] the final phase involving correcting errors improving performance and adapting the software to a changed environment
what is guided media,to limit the current flowing through the led so that it does not burn out,INCORRECT,0,what is guided media [SEP] to limit the current flowing through the led so that it does not burn out
what is fiber optic cable,a cable containing glass or plastic fibers transmit data using light pulses offering high speed and long distance transmission,GOOD,10,what is fiber optic cable [SEP] a cable containing glass or plastic fibers transmit data using light pulses offering high speed and long distance transmission
what is fiber optic cable,fibers plastic high speed transmission optic light pulses using long offering data total internal reflection,PARTIAL,5,what is fiber optic cable [SEP] fibers plastic high speed transmission optic light pulses using long offering data total internal reflection
what is fiber optic cable,high,WEAK,2,what is fiber optic cable [SEP] high
what is fiber optic cable,malware that misleads users of its true intent often disguising itself as legitimate software,INCORRECT,0,what is fiber optic cable [SEP] malware that misleads users of its true intent often disguising itself as legitimate software
what is fiber optic cable,a table used in logic to compute the functional values of logical expressions on each of their functional arguments,INCORRECT,0,what is fiber optic cable [SEP] a table used in logic to compute the functional values of logical expressions on each of their functional arguments
what is the osi model,the open systems interconnection osi model is a conceptual framework used to describe the functions of a networking system divided into 7 layers,GOOD,10,what is the osi model [SEP] the open systems interconnection osi model is a conceptual framework used to describe the functions of a networking system divided into 7 layers
what is the osi model,open used conceptual framework systems functions interconnection system layers divided framework network architecture,PARTIAL,5,what is the osi model [SEP] open used conceptual framework systems functions interconnection system layers divided framework network architecture
what is the osi model,conceptual framework,WEAK,2,what is the osi model [SEP] conceptual framework
what is the osi model,it holds the memory address of the next instruction to be fetched and executed by the cpu,INCORRECT,0,what is the osi model [SEP] it holds the memory address of the next instruction to be fetched and executed by the cpu
what is the osi model,a type of volatile memory that uses capacitors to store data and requires periodic refreshing used for main system memory,INCORRECT,0,what is the osi model [SEP] a type of volatile memory that uses capacitors to store data and requires periodic refreshing used for main system memory
name the 7 layers of the osi model,physical data link network transport presentation application,GOOD,10,name the 7 layers of the osi model [SEP] physical data link network transport presentation application
name the 7 layers of the osi model,physical name osi transport presentation application,PARTIAL,5,name the 7 layers of the osi model [SEP] physical name osi transport presentation application
name the 7 layers of the osi model,data,WEAK,2,name the 7 layers of the osi model [SEP] data
name the 7 layers of the osi model,a logic gate is an idealized or physical device implementing a boolean function performing a logical operation on one or more binary inputs,INCORRECT,0,name the 7 layers of the osi model [SEP] a logic gate is an idealized or physical device implementing a boolean function performing a logical operation on one or more binary inputs
name the 7 layers of the osi model,i don t know,INCORRECT,0,name the 7 layers of the osi model [SEP] i don t know
what is the function of the network layer,it is responsible for determining the path routing and logical addressing ip addressing of data packets,GOOD,10,what is the function of the network layer [SEP] it is responsible for determining the path routing and logical addressing ip addressing of data packets
what is the function of the network layer,function data routing packets determining path responsible network path determination,PARTIAL,5,what is the function of the network layer [SEP] function data routing packets determining path responsible network path determination
what is the function of the network layer,path,WEAK,2,what is the function of the network layer [SEP] path
what is the function of the network layer,a network architecture where tasks are partitioned between service providers servers and service requesters clients,INCORRECT,0,what is the function of the network layer [SEP] a network architecture where tasks are partitioned between service providers servers and service requesters clients
what is the function of the network layer,a logical circuit where the output depends on the present value of the input signals as well as the sequence of past inputs has memory,INCORRECT,0,what is the function of the network layer [SEP] a logical circuit where the output depends on the present value of the input signals as well as the sequence of past inputs has memory
what is a mac address,a media control mac unique identifier to a network interface controller nic for use a network address,GOOD,10,what is a mac address [SEP] a media control mac unique identifier to a network interface controller nic for use a network address
what is a mac address,nic network address use unique media interface identifier address nic,PARTIAL,5,what is a mac address [SEP] nic network address use unique media interface identifier address nic
what is a mac address,identifier,WEAK,2,what is a mac address [SEP] identifier
what is a mac address,a relation is in 3nf if it is in 2nf and has no transitive dependencies non key attributes depend only on the primary key,INCORRECT,0,what is a mac address [SEP] a relation is in 3nf if it is in 2nf and has no transitive dependencies non key attributes depend only on the primary key
what is a mac address,data implies raw facts and figures which have no specific meaning until processed,INCORRECT,0,what is a mac address [SEP] data implies raw facts and figures which have no specific meaning until processed
what is an ip address,an ip address is a numerical label assigned to each device connected to a that uses the internet protocol for communication,GOOD,10,what is an ip address [SEP] an ip address is a numerical label assigned to each device connected to a that uses the internet protocol for communication
what is an ip address,each numerical label computer label numerical communication ip device network communication ip,PARTIAL,5,what is an ip address [SEP] each numerical label computer label numerical communication ip device network communication ip
what is an ip address,device,WEAK,2,what is an ip address [SEP] device
what is an ip address,i don t know,INCORRECT,0,what is an ip address [SEP] i don t know
what is an ip address,it holds the address of the memory location where data is to be read from or written to,INCORRECT,0,what is an ip address [SEP] it holds the address of the memory location where data is to be read from or written to
what is a router,a router is networking device that forwards data packets between computer networks,GOOD,10,what is a router [SEP] a router is networking device that forwards data packets between computer networks
what is a router,data networks router between networks router computer,PARTIAL,5,what is a router [SEP] data networks router between networks router computer
what is a router,router,WEAK,2,what is a router [SEP] router
what is a router,the machine readable code binary produced by a compiler or assembler from source code,INCORRECT,0,what is a router [SEP] the machine readable code binary produced by a compiler or assembler from source code
what is a router,a relationship where a single record in table a can be related to one or more records in table b but a record in table b is related to only one record in table a,INCORRECT,0,what is a router [SEP] a relationship where a single record in table a can be related to one or more records in table b but a record in table b is related to only one record in table a
what is packet switching,a method of grouping data that is transmitted over a digital network into packets which are sent independently and reassembled at the destination,GOOD,10,what is packet switching [SEP] a method of grouping data that is transmitted over a digital network into packets which are sent independently and reassembled at the destination
what is packet switching,over reassembled independent transmitted data network packets digital packets switching,PARTIAL,5,what is packet switching [SEP] over reassembled independent transmitted data network packets digital packets switching
what is packet switching,over,WEAK,2,what is packet switching [SEP] over
what is packet switching,i don t know,INCORRECT,0,what is packet switching [SEP] i don t know
what is packet switching,it displays the specified message or value to the standard output device screen,INCORRECT,0,what is packet switching [SEP] it displays the specified message or value to the standard output device screen
define systems development life cycle sdlc,sdlc is a process for planning creating testing and deploying an information system,GOOD,10,define systems development life cycle sdlc [SEP] sdlc is a process for planning creating testing and deploying an information system
define systems development life cycle sdlc,testing system deploying sdlc define information system information systems,PARTIAL,5,define systems development life cycle sdlc [SEP] testing system deploying sdlc define information system information systems
define systems development life cycle sdlc,sdlc,WEAK,2,define systems development life cycle sdlc [SEP] sdlc
define systems development life cycle sdlc,a process for planning creating testing and deploying an information system,INCORRECT,0,define systems development life cycle sdlc [SEP] a process for planning creating testing and deploying an information system
define systems development life cycle sdlc,an internet protocol ip address is a numerical label assigned to each device connected to a computer network that uses the internet protocol for communication,INCORRECT,0,define systems development life cycle sdlc [SEP] an internet protocol ip address is a numerical label assigned to each device connected to a computer network that uses the internet protocol for communication
what is the waterfall model,it is a linear sequential design approach for software development where progress flows downwards through phases like requirements analysis design implementation and testing,GOOD,10,what is the waterfall model [SEP] it is a linear sequential design approach for software development where progress flows downwards through phases like requirements analysis design implementation and testing
what is the waterfall model,implementation phases sequential phases requirements software waterfall flows downwards linear like traditional,PARTIAL,5,what is the waterfall model [SEP] implementation phases sequential phases requirements software waterfall flows downwards linear like traditional
what is the waterfall model,downwards,WEAK,2,what is the waterfall model [SEP] downwards
what is the waterfall model,i don t know,INCORRECT,0,what is the waterfall model [SEP] i don t know
what is the waterfall model,a branch of algebra in which the values of the variables are the truth values true and false usually denoted 1 and 0,INCORRECT,0,what is the waterfall model [SEP] a branch of algebra in which the values of the variables are the truth values true and false usually denoted 1 and 0
what is a feasibility study,a of an practicality or economic project assessment system operational of,GOOD,10,what is a feasibility study [SEP] a of an practicality or economic project assessment system operational of
what is a feasibility study,economic proposed system project operational study telos,PARTIAL,5,what is a feasibility study [SEP] economic proposed system project operational study telos
what is a feasibility study,system,WEAK,2,what is a feasibility study [SEP] system
what is a feasibility study,a method of grouping data that is transmitted over a digital network into packets which are sent independently and reassembled at the destination,INCORRECT,0,what is a feasibility study [SEP] a method of grouping data that is transmitted over a digital network into packets which are sent independently and reassembled at the destination
what is a feasibility study,a deployment strategy where the new system is implemented in stages or modules across the organization rather than all at once,INCORRECT,0,what is a feasibility study [SEP] a deployment strategy where the new system is implemented in stages or modules across the organization rather than all at once
what are functional requirements,or what behaviors that functions system requirements the define specific do system,GOOD,10,what are functional requirements [SEP] or what behaviors that functions system requirements the define specific do system
what are functional requirements,define system specific behaviors requirements do functional input output,PARTIAL,5,what are functional requirements [SEP] define system specific behaviors requirements do functional input output
what are functional requirements,should,WEAK,2,what are functional requirements [SEP] should
what are functional requirements,a base 16 number system that uses digits 0 9 and letters a f,INCORRECT,0,what are functional requirements [SEP] a base 16 number system that uses digits 0 9 and letters a f
what are functional requirements,it prints data to the serial port as human readable ascii text followed by a carriage return character new line,INCORRECT,0,what are functional requirements [SEP] it prints data to the serial port as human readable ascii text followed by a carriage return character new line
what are non functional requirements,requirements that specify criteria that can be to judge the operation of a system how system performs like or speed,GOOD,10,what are non functional requirements [SEP] requirements that specify criteria that can be to judge the operation of a system how system performs like or speed
what are non functional requirements,criteria specify requirements speed like requirements functional how system performs,PARTIAL,5,what are non functional requirements [SEP] criteria specify requirements speed like requirements functional how system performs
what are non functional requirements,performs,WEAK,2,what are non functional requirements [SEP] performs
what are non functional requirements,i don t know,INCORRECT,0,what are non functional requirements [SEP] i don t know
what are non functional requirements,i don t know,INCORRECT,0,what are non functional requirements [SEP] i don t know
what is a database management system dbms,a dbms is software that interacts with end users applications and the database itself to capture and analyze data,GOOD,10,what is a database management system dbms [SEP] a dbms is software that interacts with end users applications and the database itself to capture and analyze data
what is a database management system dbms,interacts software system analyze capture database data management,PARTIAL,5,what is a database management system dbms [SEP] interacts software system analyze capture database data management
what is a database management system dbms,interacts,WEAK,2,what is a database management system dbms [SEP] interacts
what is a database management system dbms,a standard language for storing manipulating and retrieving data in databases,INCORRECT,0,what is a database management system dbms [SEP] a standard language for storing manipulating and retrieving data in databases
what is a database management system dbms,i don t know,INCORRECT,0,what is a database management system dbms [SEP] i don t know
what is an er diagram erd,a of entity symbols sets relationships in diagram the using graphical entity shows an relationship stored database,GOOD,10,what is an er diagram erd [SEP] a of entity symbols sets relationships in diagram the using graphical entity shows an relationship stored database
what is an er diagram erd,using shows er relationships entity graphical relationships of entity sets stored modeling,PARTIAL,5,what is an er diagram erd [SEP] using shows er relationships entity graphical relationships of entity sets stored modeling
what is an er diagram erd,database,WEAK,2,what is an er diagram erd [SEP] database
what is an er diagram erd,it holds the memory address of the next instruction to be fetched and executed by the cpu,INCORRECT,0,what is an er diagram erd [SEP] it holds the memory address of the next instruction to be fetched and executed by the cpu
what is an er diagram erd,it opens a file and returns a file object which allows reading writing or appending to the file,INCORRECT,0,what is an er diagram erd [SEP] it opens a file and returns a file object which allows reading writing or appending to the file
what is an entity in a database,an entity is an object or concept in the real world that is distinguishable from all other objects e g student car,GOOD,10,what is an entity in a database [SEP] an entity is an object or concept in the real world that is distinguishable from all other objects e g student car
what is an entity in a database,entity world object database car other object concept distinguishable record,PARTIAL,5,what is an entity in a database [SEP] entity world object database car other object concept distinguishable record
what is an entity in a database,world,WEAK,2,what is an entity in a database [SEP] world
what is an entity in a database,an interface that processes commands to a computer program in the form of lines of text,INCORRECT,0,what is an entity in a database [SEP] an interface that processes commands to a computer program in the form of lines of text
what is an entity in a database,a source or destination of data that is outside the boundaries of the system being studied e g customer supplier,INCORRECT,0,what is an entity in a database [SEP] a source or destination of data that is outside the boundaries of the system being studied e g customer supplier
what is an attribute in an erd,an attribute is a property or characteristic of an entity e g student name age,GOOD,10,what is an attribute in an erd [SEP] an attribute is a property or characteristic of an entity e g student name age
what is an attribute in an erd,of entity property characteristic entity student erd property,PARTIAL,5,what is an attribute in an erd [SEP] of entity property characteristic entity student erd property
what is an attribute in an erd,entity,WEAK,2,what is an attribute in an erd [SEP] entity
what is an attribute in an erd,i don t know,INCORRECT,0,what is an attribute in an erd [SEP] i don t know
